ad_id,ad_name,campaign,format,impressions,reach,frequency,ctr,cpc,spend,daily_budget,conversions,cpa,target_cpa,headline,body,cta
ad_001,Thums Up T20 Cashback,Awareness,static,980000,420000,2.33,2.85,1.20,3350,180,0,0,0,"Grab a Chilled Sip & Win ₹100 Cashback","Buy Thums Up. Get a chance to win ₹100 PhonePe cashback + ICC T20 World Cup match tickets. Offer valid till stocks last.","Participate Now"
ad_002,Domino's Diwali Dhamaka,Retargeting,static,310000,98000,3.16,1.92,2.40,1820,90,186,9.78,12,"Add Any Item for Just ₹1 This Diwali","Order now and add any menu item for ₹1. Valid on delivery, dine-in & takeaway. Diwali ka asli dhamaka — only at Domino's.","Order Now"
ad_003,Domino's Diwali — Remarketing,Remarketing,static,125000,31000,4.03,1.10,3.80,1240,58,68,18.24,12,"Still Thinking? Your ₹1 Deal is Waiting","You saw the offer. Add any item for ₹1 — don't let it slip. Order before the Diwali offer ends.","Claim Your Deal"
ad_004,Asus TUF Gaming A15 — Specs,Prospecting,carousel,540000,310000,1.74,1.65,2.10,2680,130,44,60.91,55,"Built for Gamers. Priced for Everyone.","GTX 1660 Ti. 144Hz IPS display. 512GB SSD. Starting ₹69,999. The TUF Gaming A15 doesn't compromise — your games finally can run the way they were meant to.","Shop Now"
ad_005,Asus ZenBook — Lightweight,Prospecting,carousel,420000,255000,1.65,1.48,2.35,2190,105,31,70.65,55,"Lightweight. Powerful. Ready for Anything.","Intel Core i7. Full HD display. 67Wh battery. The ZenBook goes where you go — without the weight slowing you down.","Explore ZenBook"
ad_006,Asus TUF — Price Drop Retargeting,Retargeting,static,88000,22000,4.00,0.88,4.20,980,45,14,70.00,55,"Price Just Dropped on TUF Gaming A15","The laptop you were checking out just got cheaper. ₹69,999 — grab it before it goes back up.","Buy Now"
ad_007,Water Park — Summer Slide,Awareness,video,1250000,890000,1.40,3.12,0.85,4100,200,0,0,0,"The Longest Water Slide in India is Waiting for You","Feel the rush. Our new mega slide is open this summer — 180 metres of pure adrenaline. Book your tickets now before the weekend crowd hits.","Book Tickets"
ad_008,Water Park — Weekend Deal,Prospecting,video,380000,210000,1.81,2.45,1.60,2950,145,98,30.10,28,"Weekend Plan Sorted. Tickets from ₹499.","Skip the boring weekend. Bring the family, hit the slides, and make a day of it. Online booking gets you 20% off walk-in price.","Get 20% Off"
ad_009,Water Park — Remarketing,Remarketing,static,62000,15500,4.00,0.95,3.90,720,35,11,65.45,28,"You Browsed. Now Book. Slides Are Filling Up Fast.","Slots this weekend are going fast. You already know you want to go — lock in your tickets now before it sells out.","Book Before It's Gone"
ad_010,Car — Cinematic Launch,Awareness,video,2100000,1400000,1.50,2.10,1.05,5200,250,0,0,0,"Some Roads Were Made to be Owned","A cinematic journey. Pure performance. The new model arrives this season — register your interest and be the first to know.","Register Interest"
ad_011,Car — Test Drive CTA,Prospecting,video,490000,320000,1.53,1.85,2.20,3400,165,62,54.84,45,"Drive It Once and You'll Know","No brochure can tell you what the road will. Book a free test drive today — experience it for yourself.","Book Test Drive"
ad_012,Car — EMI Offer,Retargeting,static,145000,38000,3.82,1.02,3.60,1560,72,19,82.11,45,"Own It from ₹8,999/month","Flexible EMI. Zero down payment option. The car you've been watching is closer than you think — apply online in 3 minutes.","Check EMI Plans"
ad_013,Makeup — Intro Price,Prospecting,static,680000,490000,1.39,2.28,1.45,3100,150,105,29.52,35,"Introductory Price: 40% Off Your First Order","We're new here — and we want to make a first impression. 40% off everything in your first order. No code needed, no catch.","Shop the Launch"
ad_014,Makeup — Bestseller Push,Prospecting,static,410000,295000,1.39,1.95,1.70,2400,115,74,32.43,35,"Our #1 Bestseller Has a 4.8★ Rating — Here's Why","8,000+ reviews. Dermatologist tested. The foundation that started it all — now available in 24 shades.","Find Your Shade"
ad_015,Makeup — Remarketing,Remarketing,static,78000,20000,3.90,1.05,3.20,890,42,17,52.35,35,"Still Deciding? Your Intro Discount Expires Soon","First-order discount doesn't last forever. Thousands have already grabbed it — your 40% off is waiting.","Claim Discount"
